b_lam,b_xw,sc_s_key,sc_lam_key,C,power,r_squared
0.1,0.43500000000000005,x,beta,1.1136532969590633,0.9049837019781422,0.9996577677447694
0.1,0.43500000000000005,w,no,2.703858502824277,0.6309275130862395,0.999556243229935
0.1,0.43500000000000005,w,D,1.6074028656220178,0.8584290111052755,0.9992287445662204
0.1,0.43500000000000005,w,mixed,1.0704261455414075,1.037555877981987,0.9993266163838262
0.1,0.43500000000000005,w,beta,0.39873785674156986,1.5121676600983205,0.9716407257841095
0.1,0.43500000000000005,xw,no,2.7474980478044677,0.8546660084719979,0.999993164394192
0.1,0.43500000000000005,xw,D,1.9781968255570792,1.0,1.0
0.1,0.43500000000000005,xw,mixed,1.5064521176826373,1.1217730030362758,0.9994480089658057
0.1,0.43500000000000005,xw,beta,0.9122402135357847,1.3594160754585392,0.9945486373223956
0.1,0.46,,no,2.4885976858218966,0.0,0.0
0.1,0.46,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.46,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.46,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.46,x,no,1.714610692698537,0.7497803579517246,0.9931714407315541
0.1,0.46,x,D,1.800925402642535,0.7501699560886642,0.9998741504006853
0.1,0.46,x,mixed,1.136255659573459,0.953590680028731,0.9996403530043935
0.1,0.46,x,beta,1.1635060425531607,0.9095094135279976,0.9996876780362365
0.1,0.46,w,no,2.783407573417788,0.6354616167738744,0.999429899831444
0.1,0.46,w,D,1.656797192535133,0.8636721125524754,0.9992876041740788
0.1,0.46,w,mixed,1.1210105116457496,1.0358430202272113,0.9992970459974919
0.1,0.46,w,beta,0.4227844403896223,1.5058750630156723,0.9725456425488923
0.1,0.46,xw,no,2.8796110618582587,0.8552654878764527,0.9999918813139294
0.1,0.46,xw,D,2.078774224866428,0.9999999999999999,1.0
0.1,0.46,xw,mixed,1.6054266676952633,1.1154581645061474,0.9994690838499004
0.1,0.46,xw,beta,0.9785131165182942,1.3510228541985092,0.9945035056627906
0.1,0.48500000000000004,,no,2.4885976858218966,0.0,0.0
0.1,0.48500000000000004,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.48500000000000004,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.48500000000000004,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.48500000000000004,x,no,1.742792192584284,0.7653136134679153,0.9942177029719388
0.1,0.48500000000000004,x,D,1.8467702889540245,0.7599204257965008,0.9998749342979101
0.1,0.48500000000000004,x,mixed,1.1862105051602163,0.9556471114581315,0.999672468040425
0.1,0.48500000000000004,x,beta,1.2130457411872728,0.9137687667924825,0.9997169477832099
0.1,0.48500000000000004,w,no,2.859349131741884,0.6402802099141165,0.999301860811158
0.1,0.48500000000000004,w,D,1.7061228896362965,0.8685491113247338,0.9993396955855276
